"position.rank","passing.yards","passing.tds","passing.interceptions","rushing.rushes","rushing.yards","rushing.tds","receiving.catches","receiving.yards","receiving.tds","total.points","passing.completions","passing.attempts","name","team","pos","rank"
99,0,0,0,3,6,0,24,376,1,41,0,0,"A.J. Jenkins","KC","WR",307
37,0,0,0,0,0,0,20,234,3,41,0,0,"C.J. Fiedorowicz","HOU","TE",307
72,0,0,0,67,275,2,6,37,0,40,0,0,"Bryce Brown","BUF","RB",310
85,0,0,0,65,211,2,11,70,0,40,0,0,"Stepfan Taylor","ARI","RB",310
94,0,0,0,0,0,0,26,344,1,40,0,0,"Andre Holmes","OAK","WR",310
62,0,0,0,62,250,2,2,14,0,38,0,0,"BenJarvus Green-Ellis","CIN","RB",313
63,0,0,0,63,275,2,1,9,0,37,0,0,"Andre Williams","NYG","RB",314
39,576,5,4,11,34,0,0,0,0,36,50,79,"Shaun Hill","STL","QB",315
76,0,0,0,44,183,2,10,61,0,36,0,0,"Ahmad Bradshaw","IND","RB",315
79,0,0,0,23,97,0,24,176,2,36,0,0,"Charles Sims","TB","RB",315
36,546,6,6,10,41,0,0,0,0,35,49,78,"Mike Glennon","TB","QB",318
37,566,5,3,7,17,0,0,0,0,35,51,87,"Kirk Cousins","WSH","QB",318
67,0,0,0,24,108,1,19,123,1,34,0,0,"Jerick McKinnon","MIN","RB",320
69,0,0,0,47,208,1,11,70,0,33,0,0,"Chris Polk","PHI","RB",321
93,0,0,0,14,43,0,32,244,1,32,0,0,"De'Anthony Thomas","KC","RB",322
89,0,0,0,48,185,1,13,72,0,31,0,0,"Joseph Randle","DAL","RB",323
90,0,0,0,48,190,2,3,16,0,30,0,0,"Matt Asiata","MIN","RB",324
74,0,0,0,31,178,1,7,54,0,28,0,0,"Johnathan Franklin*","GB","RB",325
87,0,0,0,52,187,1,9,62,0,28,0,0,"Daniel Thomas","MIA","RB",325
96,0,0,0,50,213,0,13,98,0,28,0,0,"Ronnie Hillman","DEN","RB",325
97,0,0,0,46,160,1,8,61,0,28,0,0,"Peyton Hillis","NYG","RB",325
83,0,0,0,39,149,1,11,68,0,26,0,0,"Isaiah Crowell","CLE","RB",329
95,0,0,0,30,122,1,11,77,0,25,0,0,"Dennis Johnson","HOU","RB",330
71,0,0,0,38,131,1,7,45,0,23,0,0,"Robert Turbin","SEA","RB",331
81,0,0,0,25,121,1,6,50,0,23,0,0,"Benny Cunningham","STL","RB",331
94,0,0,0,26,108,1,10,65,0,22,0,0,"Theo Riddick","DET","RB",333
98,0,0,0,27,151,1,2,17,0,22,0,0,"Lache Seastrunk","WSH","RB",333
92,0,0,0,26,123,1,6,37,0,21,0,0,"Lorenzo Taliaferro","BAL","RB",335
88,0,0,0,39,155,1,3,18,0,20,0,0,"Denard Robinson","JAC","RB",336
40,87,1,0,11,55,1,0,0,0,18,7,12,"Terrelle Pryor","SEA","QB",337
80,0,0,0,21,103,1,4,26,0,18,0,0,"Marcus Lattimore","SF","RB",337
99,0,0,0,19,75,1,6,46,0,17,0,0,"Edwin Baker","CLE","RB",339
100,0,0,0,24,108,0,11,71,0,17,0,0,"Kenjon Barner","CAR","RB",339
84,0,0,0,26,98,0,9,58,0,14,0,0,"Bobby Rainey","TB","RB",341
86,0,0,0,6,25,0,12,79,0,9,0,0,"Travaris Cadet","NO","RB",342
101,0,0,0,0,0,0,0,0,0,0,0,0,"Cierre Wood","BAL","RB",343
102,0,0,0,0,0,0,0,0,0,0,0,0,"Justin Forsett","BAL","RB",343
103,0,0,0,0,0,0,0,0,0,0,0,0,"Storm Johnson","JAC","RB",343
104,0,0,0,0,0,0,0,0,0,0,0,0,"Dion Lewis","CLE","RB",343
105,0,0,0,0,0,0,0,0,0,0,0,0,"DuJuan Harris","GB","RB",343
106,0,0,0,0,0,0,0,0,0,0,0,0,"Mike Gillislee","MIA","RB",343
107,0,0,0,0,0,0,0,0,0,0,0,0,"James White","NE","RB",343
108,0,0,0,0,0,0,0,0,0,0,0,0,"Marion Grice","SD","RB",343
109,0,0,0,0,0,0,0,0,0,0,0,0,"Dri Archer","PIT","RB",343
110,0,0,0,0,0,0,0,0,0,0,0,0,"Tyler Gaffney","CAR","RB",343
111,0,0,0,0,0,0,0,0,0,0,0,0,"Daryl Richardson","NYJ","RB",343
112,0,0,0,0,0,0,0,0,0,0,0,0,"Mikel Leshoure","DET","RB",343
113,0,0,0,0,0,0,0,0,0,0,0,0,"LaMichael James","SF","RB",343
114,0,0,0,0,0,0,0,0,0,0,0,0,"Isaiah Pead","STL","RB",343
115,0,0,0,0,0,0,0,0,0,0,0,0,"Michael Cox","NYG","RB",343
116,0,0,0,0,0,0,0,0,0,0,0,0,"Chris Ogbonnaya","CLE","RB",343
117,0,0,0,0,0,0,0,0,0,0,0,0,"Mike Sellers","FA","RB",343
118,0,0,0,0,0,0,0,0,0,0,0,0,"Kevin Faulk","FA","RB",343
119,0,0,0,0,0,0,0,0,0,0,0,0,"Thomas Jones","FA","RB",343
120,0,0,0,0,0,0,0,0,0,0,0,0,"Sammy Morris","FA","RB",343
93,0,0,0,0,0,0,0,0,0,0,0,0,"Justin Blackmon","JAC","WR",343
101,0,0,0,0,0,0,0,0,0,0,0,0,"Vincent Brown","SD","WR",343
102,0,0,0,0,0,0,0,0,0,0,0,0,"Cody Latimer","DEN","WR",343
103,0,0,0,0,0,0,0,0,0,0,0,0,"Allen Robinson","JAC","WR",343
104,0,0,0,0,0,0,0,0,0,0,0,0,"Jermaine Kearse","SEA","WR",343
105,0,0,0,0,0,0,0,0,0,0,0,0,"Tiquan Underwood","CAR","WR",343
106,0,0,0,0,0,0,0,0,0,0,0,0,"Jacoby Jones","BAL","WR",343
107,0,0,0,0,0,0,0,0,0,0,0,0,"Josh Boyce","NE","WR",343
108,0,0,0,0,0,0,0,0,0,0,0,0,"David Nelson","NYJ","WR",343
109,0,0,0,0,0,0,0,0,0,0,0,0,"Kris Durham","DET","WR",343
110,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan Broyles","DET","WR",343
111,0,0,0,0,0,0,0,0,0,0,0,0,"Marquess Wilson","CHI","WR",343
112,0,0,0,0,0,0,0,0,0,0,0,0,"Josh Morgan","CHI","WR",343
113,0,0,0,0,0,0,0,0,0,0,0,0,"Shaq Evans","NYJ","WR",343
114,0,0,0,0,0,0,0,0,0,0,0,0,"DeVier Posey","HOU","WR",343
115,0,0,0,0,0,0,0,0,0,0,0,0,"Marquise Goodwin","BUF","WR",343
116,0,0,0,0,0,0,0,0,0,0,0,0,"Stephen Hill","NYJ","WR",343
117,0,0,0,0,0,0,0,0,0,0,0,0,"LaVon Brazill","IND","WR",343
118,0,0,0,0,0,0,0,0,0,0,0,0,"Malcom Floyd","SD","WR",343
119,0,0,0,0,0,0,0,0,0,0,0,0,"Austin Pettis","STL","WR",343
120,0,0,0,0,0,0,0,0,0,0,0,0,"Joe Morgan","NO","WR",343
29,0,0,0,0,0,0,0,0,0,0,0,0,"Dustin Hopkins","BUF","K",343
34,0,0,0,0,0,0,0,0,0,0,0,0,"Rob Bironas","TEN","K",343
35,0,0,0,0,0,0,0,0,0,0,0,0,"David Akers","DET","K",343
36,0,0,0,0,0,0,0,0,0,0,0,0,"John Kasay","FA","K",343
37,0,0,0,0,0,0,0,0,0,0,0,0,"Jason Hanson","FA","K",343
38,0,0,0,0,0,0,0,0,0,0,0,0,"Olindo Mare","FA","K",343
39,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan Longwell","FA","K",343
40,0,0,0,0,0,0,0,0,0,0,0,0,"Kris Brown","FA","K",343
