"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Jorvorskie Lane",3000,"Ten@TB 04:25PM ET",0.789,"TB"
"WR","Jordan Norwood",3000,"Bal@Den 04:25PM ET",0,"Den"
"RB","John Conner",3000,"Ind@Buf 01:00PM ET",1.125,"Buf"
"WR","Trindon Holliday",3000,"Cin@Oak 04:25PM ET",0.000,"Oak"
"WR","Kevin Ogletree",3000,"NYG@Dal 08:30PM ET",1.429,"NYG"
"RB","Collin Mooney",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Kyle Williams",3000,"Bal@Den 04:25PM ET",0,"Den"
"RB","Erik Lorig",3000,"NO@Ari 04:05PM ET",1.710,"NO"
"WR","Kris Durham",3000,"Cin@Oak 04:25PM ET",2.850,"Oak"
"RB","Shaun Draughn",3000,"Cle@NYJ 01:00PM ET",0.173,"Cle"
"WR","Hakeem Nicks",3000,"Ten@TB 04:25PM ET",6.542,"Ten"
"WR","Preston Parker",3000,"NYG@Dal 08:30PM ET",5.550,"NYG"
"WR","Greg Salas",3000,"Det@SD 04:05PM ET",3.270,"Det"
"WR","Jacoby Ford",3000,"Ten@TB 04:25PM ET",0,"Ten"
"RB","Marcel Reece",3000,"Cin@Oak 04:25PM ET",5.133,"Oak"
"WR","Dwayne Harris",3000,"NYG@Dal 08:30PM ET",1.044,"NYG"
"RB","Bruce Miller",3000,"Min@SF 10:20PM ET",3.050,"SF"
