"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Mark Ingram",5600,"NO@Ari 04:05PM ET",15.762,"NO"
"WR","Jarvis Landry",5600,"Mia@Was 01:00PM ET",11.588,"Mia"
"QB","Ryan Fitzpatrick",5500,"Cle@NYJ 01:00PM ET",15.977,"NYJ"
"WR","Larry Fitzgerald",5500,"NO@Ari 04:05PM ET",10.967,"Ari"
"RB","Alfred Morris",5500,"Mia@Was 01:00PM ET",11.931,"Was"
"RB","Lamar Miller",5500,"Mia@Was 01:00PM ET",14.525,"Mia"
"RB","Melvin Gordon",5500,"Det@SD 04:05PM ET",0,"SD"
"RB","T.J. Yeldon",5500,"Car@Jax 01:00PM ET",0,"Jax"
"RB","Frank Gore",5400,"Ind@Buf 01:00PM ET",10.794,"Ind"
"QB","Mark Sanchez",5400,"Phi@Atl 07:10PM ET",18.380,"Phi"
"WR","Allen Robinson",5400,"Car@Jax 01:00PM ET",11.680,"Jax"
"TE","Greg Olsen",5300,"Car@Jax 01:00PM ET",13.683,"Car"
"WR","Malcom Floyd",5300,"Det@SD 04:05PM ET",11.038,"SD"
"QB","Nick Foles",5300,"Sea@StL 01:00PM ET",18.040,"StL"
"RB","Carlos Hyde",5300,"Min@SF 10:20PM ET",5.364,"SF"
"QB","Josh McCown",5200,"Cle@NYJ 01:00PM ET",13.722,"Cle"
"WR","Pierre Garcon",5200,"Mia@Was 01:00PM ET",10.263,"Was"
"RB","Joique Bell",5200,"Det@SD 04:05PM ET",13.231,"Det"
"WR","Victor Cruz",5100,"NYG@Dal 08:30PM ET",11.450,"NYG"
"QB","Brian Hoyer",5100,"KC@Hou 01:00PM ET",12.853,"Hou"
"RB","Rashad Jennings",5100,"NYG@Dal 08:30PM ET",12.955,"NYG"
"QB","Ryan Mallett",5100,"KC@Hou 01:00PM ET",7.267,"Hou"
"WR","Kendall Wright",5100,"Ten@TB 04:25PM ET",12.279,"Ten"
"QB","EJ Manuel",5100,"Ind@Buf 01:00PM ET",12.344,"Buf"
"WR","Rueben Randle",5100,"NYG@Dal 08:30PM ET",11.988,"NYG"
"QB","Matt Hasselbeck",5000,"Ind@Buf 01:00PM ET",4.485,"Ind"
"QB","Charlie Whitehurst",5000,"Ten@TB 04:25PM ET",12.720,"Ten"
"QB","Tarvaris Jackson",5000,"Sea@StL 01:00PM ET",0.000,"Sea"
"QB","Derek Anderson",5000,"Car@Jax 01:00PM ET",7.206,"Car"
"QB","Dan Orlovsky",5000,"Det@SD 04:05PM ET",0.000,"Det"
"QB","Kellen Clemens",5000,"Det@SD 04:05PM ET",0.200,"SD"
"QB","Shaun Hill",5000,"Min@SF 10:20PM ET",10.920,"Min"
"QB","Matt Moore",5000,"Mia@Was 01:00PM ET",0.320,"Mia"
"QB","Drew Stanton",5000,"NO@Ari 04:05PM ET",11.416,"Ari"
"QB","Matt Schaub",5000,"Bal@Den 04:25PM ET",-0.065,"Bal"
"QB","Luke McCown",5000,"NO@Ari 04:05PM ET",0.000,"NO"
"QB","Chad Henne",5000,"Car@Jax 01:00PM ET",10.727,"Jax"
"QB","Josh Johnson",5000,"Cin@Oak 04:25PM ET",0,"Cin"
"QB","Mike Kafka",5000,"Min@SF 10:20PM ET",0,"Min"
"QB","R.J. Archer",5000,"Sea@StL 01:00PM ET",0,"Sea"
"QB","Joe Webb",5000,"Car@Jax 01:00PM ET",0.289,"Car"
"QB","Chase Daniel",5000,"KC@Hou 01:00PM ET",2.593,"KC"
"QB","Colt McCoy",5000,"Mia@Was 01:00PM ET",13.976,"Was"
"QB","Tim Tebow",5000,"Phi@Atl 07:10PM ET",0,"Phi"
"QB","T.J. Yates",5000,"Phi@Atl 07:10PM ET",0.780,"Atl"
"QB","Christian Ponder",5000,"Cin@Oak 04:25PM ET",7.240,"Oak"
"QB","Scott Tolzien",5000,"GB@Chi 01:00PM ET",0,"GB"
"QB","Ricky Stanzi",5000,"NYG@Dal 08:30PM ET",0,"NYG"
"QB","McLeod Bethel-Thompson",5000,"Mia@Was 01:00PM ET",0,"Mia"
